               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.15354,            0.036258,                   0,          0.00029164,            0.027778,          0.00017182,          1.7182e-05,             0.14992,            0.029953,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.14864,            0.035644,                   0,          0.00043478,            0.041667,          0.00024577,          2.4577e-05,             0.14839,            0.028687,                   0,            0.097299,          0.00029941,          0.00029941
                   2,             0.14628,            0.034291,                   0,          0.00043478,            0.041667,          0.00024914,          2.4914e-05,             0.14515,            0.027092,                   0,            0.095498,          0.00049802,          0.00049802
                   3,             0.14323,            0.032988,                   0,          0.00028986,            0.027778,          0.00017235,          1.7235e-05,             0.14078,            0.025486,                   0,            0.093696,          0.00069584,          0.00069584
                   4,             0.14329,            0.032338,                   0,          0.00043478,            0.041667,          0.00027732,           3.556e-05,             0.13615,            0.024002,                   0,            0.091893,          0.00089287,          0.00089287
                   5,              0.1431,            0.028127,                   0,          0.00072464,            0.069444,          0.00048885,           7.412e-05,             0.13246,            0.022675,                   0,            0.090089,           0.0010891,           0.0010891
                   6,             0.13739,            0.030602,                   0,          0.00057971,            0.055556,          0.00034098,           5.928e-05,             0.12948,            0.021656,                   0,            0.088285,           0.0012846,           0.0012846
                   7,             0.12673,            0.029998,                   0,          0.00043478,            0.041667,          0.00027178,          7.1209e-05,             0.12703,            0.020775,                   0,            0.086479,           0.0014792,           0.0014792
                   8,             0.13041,            0.027422,                   0,          0.00057971,            0.055556,          0.00039241,          9.2344e-05,             0.12586,            0.020359,                   0,            0.084673,           0.0016731,           0.0016731
                   9,              0.1299,             0.02632,                   0,          0.00057971,            0.055556,          0.00038788,           0.0001103,             0.12461,            0.019934,                   0,            0.082866,           0.0018661,           0.0018661
                  10,             0.13059,            0.025611,                   0,          0.00072464,            0.069444,          0.00053782,          0.00012568,             0.12326,            0.019531,                   0,            0.081058,           0.0020584,           0.0020584
